,wavelength,amplitude
354,823.742,3068
355,823.81,3080
356,823.877,3068
357,823.944,3068
358,824.011,3057
359,824.078,3070
360,824.145,3092
361,824.212,3088
362,824.279,3083
363,824.346,3087
364,824.413,3067
365,824.48,3088
366,824.547,3066
367,824.614,3054
368,824.681,3031
369,824.748,3057
370,824.816,3055
371,824.883,3068
372,824.95,3058
373,825.017,3043
374,825.084,3055
375,825.151,3068
376,825.218,3060
377,825.285,3046
378,825.352,3043
379,825.419,3040
380,825.486,3051
381,825.553,3023
382,825.62,3059
383,825.687,3056
384,825.755,3069
385,825.822,3053
386,825.889,3029
387,825.956,3049
388,826.023,3053
389,826.09,3043
390,826.157,3020
391,826.224,3053
392,826.291,3030
393,826.358,3058
394,826.425,3036
395,826.492,3027
396,826.559,3042
397,826.626,3065
398,826.693,3065
399,826.761,3053
400,826.828,3034
401,826.895,3036
402,826.962,3044
403,827.029,3052
404,827.096,3041
405,827.163,3047
406,827.23,3051
407,827.297,3047
408,827.364,3048
409,827.431,3057
410,827.498,3055
411,827.565,3065
412,827.632,3058
413,827.7,3073
414,827.767,3075
415,827.834,3060
416,827.901,3096
417,827.968,3079
418,828.035,3069
419,828.102,3074
420,828.169,3096
421,828.236,3062
422,828.303,3089
423,828.37,3080
424,828.437,3085
425,828.504,3093
426,828.571,3096
427,828.638,3073
428,828.706,3088
429,828.773,3081
430,828.84,3078
431,828.907,3072
432,828.974,3058
433,829.041,3076
434,829.108,3067
435,829.175,3060
436,829.242,3056
437,829.309,3062
438,829.376,3049
439,829.443,3071
440,829.51,3068
441,829.577,3073
442,829.645,3068
443,829.712,3061
444,829.779,3068
445,829.846,3041
446,829.913,3074
447,829.98,3043
448,830.047,3049
449,830.114,3083
450,830.181,3057
451,830.248,3079
452,830.315,3075
453,830.382,3055
454,830.449,3058
455,830.516,3059
456,830.584,3064
457,830.651,3068
458,830.718,3051
459,830.785,3046
460,830.852,3057
461,830.919,3061
462,830.986,3063
463,831.053,3072
464,831.12,3058
465,831.187,3068
466,831.254,3073
467,831.321,3049
468,831.388,3081
469,831.455,3087
470,831.522,3070
471,831.59,3082
472,831.657,3077
473,831.724,3080
474,831.791,3082
475,831.858,3085
476,831.925,3089
477,831.992,3090
478,832.059,3089
479,832.126,3086
480,832.193,3103
481,832.26,3080
482,832.327,3084
483,832.394,3102
484,832.461,3093
485,832.529,3073
486,832.596,3098
487,832.663,3078
488,832.73,3144
489,832.797,3097
490,832.864,3117
491,832.931,3091
492,832.998,3107
493,833.065,3101
494,833.132,3119
495,833.199,3112
496,833.266,3106
497,833.333,3083
498,833.4,3097
499,833.467,3086
500,833.535,3090
501,833.602,3080
502,833.669,3102
503,833.736,3090
504,833.803,3099
505,833.87,3098
506,833.937,3117
507,834.004,3095
508,834.071,3095
509,834.138,3098
510,834.205,3127
511,834.272,3099
512,834.339,3108
513,834.406,3102
514,834.474,3096
515,834.541,3072
516,834.608,3115
517,834.675,3114
518,834.742,3115
519,834.809,3107
520,834.876,3100
521,834.943,3101
522,835.01,3117
523,835.077,3108
524,835.144,3095
525,835.211,3101
526,835.278,3109
527,835.345,3107
528,835.412,3111
529,835.48,3092
530,835.547,3111
531,835.614,3086
532,835.681,3099
533,835.748,3098
534,835.815,3071
535,835.882,3095
536,835.949,3095
537,836.016,3074
538,836.083,3081
539,836.15,3089
540,836.217,3086
541,836.284,3066
542,836.351,3082
543,836.419,3057
544,836.486,3172
545,836.553,3084
546,836.62,3092
547,836.687,3109
548,836.754,3088
549,836.821,3084
550,836.888,3098
551,836.955,3113
552,837.022,3117
553,837.089,3117
554,837.156,3089
555,837.223,3110
556,837.29,3105
557,837.357,3107
558,837.425,3112
559,837.492,3101
560,837.559,3110
561,837.626,3090
562,837.693,3106
563,837.76,3076
564,837.827,3092
565,837.894,3100
566,837.961,3078
567,838.028,3111
568,838.095,3083
569,838.162,3100
570,838.229,3064
571,838.296,3079
572,838.364,3090
573,838.431,3080
574,838.498,3115
575,838.565,3107
576,838.632,3107
577,838.699,3097
578,838.766,3094
579,838.833,3082
580,838.9,3098
581,838.967,3092
582,839.034,3086
583,839.101,3099
584,839.168,3090
585,839.235,3081
586,839.302,3075
587,839.37,3109
588,839.437,3089
589,839.504,3091
590,839.571,3099
591,839.638,3078
592,839.705,3090
593,839.772,3099
594,839.839,3072
595,839.906,3085
596,839.973,3107
597,840.04,3058
598,840.107,3093
599,840.174,3100
600,840.241,3105
601,840.309,3089
602,840.376,3104
603,840.443,3104
604,840.51,3098
605,840.577,3128
606,840.644,3115
607,840.711,3106
608,840.778,3093
609,840.845,3105
610,840.912,3111
611,840.979,3120
612,841.046,3096
613,841.113,3103
614,841.18,3096
615,841.247,3123
616,841.315,3108
617,841.382,3124
618,841.449,3110
